mass,coupling
6.194299e-02, 5.308448e-15 
6.678250e-02, 4.392215e-15 
7.406014e-02, 3.084407e-15 
8.098054e-02, 2.639401e-15 
9.281024e-02, 1.998716e-15 
1.024415e-01, 1.803682e-15 
1.174062e-01, 1.498837e-15 
1.302006e-01, 1.412535e-15 
1.527698e-01, 1.219440e-15 
1.694180e-01, 1.157870e-15 
2.006633e-01, 1.069302e-15 
2.225307e-01, 1.064662e-15 
2.685753e-01, 1.049027e-15 
2.978434e-01, 1.092144e-15 
3.662956e-01, 1.232671e-15 
4.062128e-01, 1.338552e-15 
4.613840e-01, 1.516460e-15 
5.090552e-01, 1.679341e-15 
5.645297e-01, 1.911712e-15 
6.196832e-01, 2.196129e-15 
7.141377e-01, 2.709543e-15 
7.919611e-01, 3.312673e-15 
8.619024e-01, 3.960278e-15 
1.030506e+00, 5.860205e-15 
1.142805e+00, 7.596909e-15 
1.243731e+00, 9.552788e-15 
1.501076e+00, 1.636896e-14 
1.664656e+00, 2.241583e-14 
1.811669e+00, 2.937792e-14 
2.186528e+00, 5.525617e-14 
2.424805e+00, 7.881294e-14 
2.638950e+00, 1.077699e-13 
3.184984e+00, 2.193669e-13 
3.532069e+00, 3.324161e-13 
3.862116e+00, 4.751519e-13 
4.639375e+00, 1.052911e-12 
5.144953e+00, 1.659255e-12 
5.599325e+00, 2.416281e-12 
6.694652e+00, 5.535956e-12 
7.424203e+00, 8.968355e-12 
8.079865e+00, 1.317847e-11 
9.591213e+00, 3.029548e-11 
