mass,coupling
4.817969e-04, 5.598380e-06 
5.033103e-04, 9.345098e-09 
5.092662e-04, 5.747148e-09 
5.122904e-04, 3.939482e-09 
5.190991e-04, 2.543411e-09 
5.269220e-04, 1.582291e-09 
5.313897e-04, 1.016237e-09 
5.368997e-04, 6.651909e-10 
5.484126e-04, 4.162883e-10 
5.639513e-04, 2.846285e-10 
5.813064e-04, 2.111563e-10 
5.995741e-04, 1.537316e-10 
6.165592e-04, 1.163928e-10 
6.414574e-04, 9.318040e-11 
6.745547e-04, 7.211558e-11 
7.044909e-04, 5.498407e-11 
7.350414e-04, 4.391567e-11 
7.714513e-04, 3.594658e-11 
8.101005e-04, 2.929992e-11 
8.506814e-04, 2.436983e-11 
8.941313e-04, 1.990107e-11 
9.446141e-04, 1.662811e-11 
9.942420e-04, 1.389367e-11 
1.018585e-03, 9.546897e-12 
1.036499e-03, 6.101451e-12 
1.053185e-03, 3.968295e-12 
1.073414e-03, 2.693583e-12 
1.095601e-03, 1.814777e-12 
1.114359e-03, 1.198583e-12 
1.129469e-03, 8.496053e-13 
1.144778e-03, 6.146386e-13 
1.170970e-03, 4.082792e-13 
1.194364e-03, 2.687775e-13 
1.211607e-03, 1.803976e-13 
1.222773e-03, 1.250595e-13 
1.248330e-03, 8.612813e-14 
1.271452e-03, 5.634406e-14 
1.299683e-03, 4.221398e-14 
1.318061e-03, 3.088109e-14 
1.336694e-03, 2.281985e-14 
1.359256e-03, 1.507064e-14 
1.382293e-03, 9.522163e-15 
1.410643e-03, 6.377144e-15 
1.425960e-03, 4.452159e-15 
1.455927e-03, 3.108297e-15 
1.474818e-03, 2.171041e-15 
1.495675e-03, 1.576096e-15 
1.513881e-03, 1.171438e-15 
1.538254e-03, 8.793358e-16 
1.567059e-03, 5.861109e-16 
1.597957e-03, 3.712884e-16 
1.625570e-03, 2.550201e-16 
1.650128e-03, 1.855130e-16 
1.673466e-03, 1.343052e-16 
1.697137e-03, 9.675371e-17 
1.717795e-03, 7.200619e-17 
1.745452e-03, 5.396067e-17 
1.770134e-03, 3.940412e-17 
1.795170e-03, 2.853720e-17 
1.819851e-03, 2.081307e-17 
1.854634e-03, 1.424972e-17 
1.889175e-03, 9.001156e-18 
1.923885e-03, 6.181360e-18 
1.949869e-03, 4.396311e-18 
1.995353e-03, 2.997807e-18 
2.097563e-03, 2.390561e-18 
2.222447e-03, 2.139326e-18 
2.366541e-03, 1.885705e-18 
2.519981e-03, 1.653303e-18 
2.683365e-03, 1.460597e-18 
2.857347e-03, 1.283365e-18 
3.034387e-03, 1.223921e-18 
3.285108e-03, 1.362277e-18 
3.547045e-03, 1.476198e-18 
3.829865e-03, 1.604152e-18 
4.135212e-03, 1.780096e-18 
4.464826e-03, 2.101352e-18 
4.820716e-03, 2.479511e-18 
5.204918e-03, 3.037317e-18 
5.619719e-03, 3.775377e-18 
6.067541e-03, 4.797838e-18 
6.551016e-03, 6.205044e-18 
7.073023e-03, 8.006985e-18 
7.636554e-03, 1.067459e-17 
8.245016e-03, 1.404764e-17 
8.901905e-03, 1.889561e-17 
9.611079e-03, 2.589926e-17 
1.034675e-02, 3.410312e-17 
1.120336e-02, 4.963235e-17 
1.209581e-02, 6.938795e-17 
1.305936e-02, 9.705141e-17 
1.409966e-02, 1.360077e-16 
1.522281e-02, 1.915465e-16 
1.643548e-02, 2.670133e-16 
1.774472e-02, 3.740397e-16 
1.915822e-02, 5.281239e-16 
2.068433e-02, 7.436443e-16 
2.233185e-02, 1.074771e-15 
2.411062e-02, 1.546684e-15 
2.603107e-02, 2.226338e-15 
2.810449e-02, 3.205361e-15 
3.034308e-02, 4.601871e-15 
3.275993e-02, 6.648301e-15 
3.536935e-02, 9.548354e-15 
3.818656e-02, 1.377827e-14 
4.122819e-02, 1.985493e-14 
4.451210e-02, 2.857229e-14 
4.805751e-02, 4.137276e-14 
5.188533e-02, 5.982437e-14 
5.601791e-02, 8.717372e-14 
6.047965e-02, 1.270395e-13 
6.529676e-02, 1.851545e-13 
7.045974e-02, 2.696091e-13 
7.611263e-02, 3.922136e-13 
8.217491e-02, 5.709116e-13 
8.871994e-02, 8.348782e-13 
9.578651e-02, 1.209910e-12 
1.034157e-01, 1.766869e-12 
1.116526e-01, 2.580363e-12 
1.205454e-01, 3.780054e-12 
1.301466e-01, 5.512645e-12 
1.405125e-01, 8.064171e-12 
1.517040e-01, 1.177929e-11 
1.637868e-01, 1.725890e-11 
1.768321e-01, 2.517366e-11 
1.909164e-01, 3.677503e-11 
2.061224e-01, 5.388790e-11 
2.225394e-01, 7.896633e-11 
2.402641e-01, 1.155435e-10 
2.594006e-01, 1.688111e-10 
2.800610e-01, 2.477668e-10 
3.023670e-01, 3.631078e-10 
3.264498e-01, 5.313464e-10 
3.524507e-01, 7.775493e-10 
3.805223e-01, 1.139579e-09 
4.108298e-01, 1.670197e-09 
4.435514e-01, 2.444209e-09 
4.788789e-01, 3.582398e-09 
5.170207e-01, 5.234763e-09 
5.581993e-01, 7.695923e-09 
6.026582e-01, 1.128006e-08 
6.506579e-01, 1.655866e-08 
7.024808e-01, 2.427080e-08 
7.584313e-01, 3.557515e-08 
8.188378e-01, 5.222419e-08 
8.840562e-01, 7.643320e-08 
9.596552e-01, 1.148147e-07 
1.004176e+00, 1.394330e-07 
