mass,coupling
0.01,2.9387376903625516e-11
0.011,1.677403476164428e-11
0.012,1.212419730067975e-11
0.013,1.2114095905222143e-11
0.014,6.926467558703281e-12
0.015,2.4168331045708422e-12
0.016,1.283864767995237e-12
0.017,8.34188584416789e-13
0.018,6.180897996870167e-13
0.019,4.989723581721594e-13
0.02,4.2770263737746937e-13
0.025,3.2272563057725647e-13
0.03,3.5377855592599906e-13
0.04,5.8687200477613e-13
0.05,1.0738972600737849e-12
0.06,1.9392551190765515e-12
0.07,3.367824144676879e-12
0.08,5.61222223492493e-12
0.09,8.977019932581849e-12
0.1,1.3884317843493736e-11
0.15,8.142952562030515e-11
0.2,3.040662243479031e-10
0.25,8.671253749481208e-10
0.3,2.0635343865451877e-9
0.4,8.214332914078955e-9
0.5,2.4423714992421817e-8
0.6,5.9356709251884355e-8
0.7,1.2610638296437942e-7
0.8,2.437717162528907e-7
0.9,4.36351502569138e-7
1.,7.323001091075153e-7
