mass,coupling
3.900000e-02, 7.386081e-13 
4.600000e-02, 7.814707e-13 
5.400000e-02, 7.424365e-13 
6.300000e-02, 6.758052e-13 
1.000000e-01, 8.350525e-13 
1.160000e-01, 8.713616e-13 
1.350000e-01, 8.252702e-13 
1.580000e-01, 1.155356e-12 
1.840000e-01, 1.051649e-12 
2.150000e-01, 1.408575e-12 
2.510000e-01, 1.651555e-12 
2.920000e-01, 1.827272e-12 
3.410000e-01, 2.164606e-12 
3.980000e-01, 2.429884e-12 
8.000000e-01, 2.030555e-14 
1.000000e+00, 8.517479e-15 
1.200000e+00, 5.499516e-15 
1.400000e+00, 4.433073e-15 
1.600000e+00, 4.146352e-15 
1.800000e+00, 4.271297e-15 
2.000000e+00, 4.725495e-15 
2.200000e+00, 5.423035e-15 
2.400000e+00, 6.434586e-15 
2.600000e+00, 7.743103e-15 
2.800000e+00, 9.326811e-15 
3.000000e+00, 1.121683e-14 
3.200000e+00, 1.339389e-14 
3.500000e+00, 1.729777e-14 
4.000000e+00, 2.582854e-14 
4.500000e+00, 3.759541e-14 
5.000000e+00, 5.372835e-14 
5.500000e+00, 7.542294e-14 
6.000000e+00, 1.032779e-13 
7.000000e+00, 1.795932e-13 
8.000000e+00, 2.868164e-13 
9.000000e+00, 4.322221e-13 
1.000000e+01, 6.321180e-13 
